F,Location Description,D,Location Name,Street Start,Street End,Enforcement Hours,Enforcement Days,Position,Route,Notes,LOCATION ID,Video Timestamp,Ryan QC
,EB Wilshire Blvd @ Coronado St,EB,Wilshire Blvd,Coronado St,Carondelet St,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Coronado St|7,9,16,19|12345|BD",EB 720_4.MP4 9:05,x
,EB 6th St @ S Hope St,EB,6th St,S Hope St,Grand Ave,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|6th St @ S Hope St|7,19|12345|BD",EB 720_5.MP4 7:47,x
,EB 6th St @ Grand Ave,EB,6th St,Grand Ave,Olive St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|6th St @ Grand Ave|7,19|12345|BD",EB 720_5.MP4 8:06,x
,EB 6th St @ Olive St,EB,6th St,Olive St,Hill St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|6th St @ Olive St|7,19|12345|BD",EB 720_5.MP4 8:23,x
,EB 6th St @ Hill St,EB,6th St,Hill St,Broadway,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|6th St @ Hill St|7,19|12345|BD",EB 720_5.MP4 8:43,x
,EB 6th St @ Broadway,EB,6th St,Broadway,Spring St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|6th St @ Broadway|7,19|12345|BD",EB 720_5.MP4 9:18,x
,EB 6th St @ Spring St,EB,6th St,Spring St,Main St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|6th St @ Spring St|7,19|12345|BD",EB 720_5.MP4 10:09,x
,EB 6th St @ Main St,EB,6th St,Main St,Los Angeles St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|6th St @ Main St|7,19|12345|BD",EB 720_5.MP4 10:28,x
,EB 6th St @ Los Angeles St,EB,6th St,Los Angeles St,Maple Ave,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|6th St @ Los Angeles St|7,19|12345|BD",EB 720_6.MP4 0:18,x
,EB 6th St @ Maple Ave,EB,6th St,Maple Ave,Wall St,7AM - 7PM,"Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|6th St @ Maple Ave|7,19|12345|BD",EB 720_6.MP4 0:32,x
